0,0,-1
0,61,0
1,0,-1
0,61,1
0,60,2
1,12,0
1,12,1
1,12,2
0,60,3
1,12,3
0,60,4
1,13,4
0,56,5
1,15,5
0,54,6
1,15,6
0,51,7
1,15,7
0,50,8
1,14,8
0,49,9
0,49,10
1,14,9
1,14,10
0,45,11
1,14,11
0,43,12
1,14,12
0,37,13
1,14,13
0,36,14
1,17,14
0,32,15
1,17,15
0,33,16
0,31,17
0,29,18
1,23,16
0,28,19
1,23,17
0,26,20
1,23,18
1,22,19
0,25,21
1,25,20
0,21,22
1,23,21
0,18,23
2,0,-1
1,24,22
0,17,24
1,26,23
3,0,-1
1,26,24
0,16,25
2,67,0
2,67,1
3,2,0
1,27,25
3,2,1
0,20,26
2,68,2
3,4,2
0,19,27
2,67,3
1,36,26
3,7,3
2,64,4
0,20,28
1,37,27
2,59,5
0,20,29
1,37,28
3,21,4
0,18,30
2,57,6
0,16,31
1,40,29
3,24,5
0,15,32
1,42,30
2,55,7
0,14,33
1,41,31
3,25,6
2,54,8
1,40,32
3,27,7
0,25,34
2,50,9
1,39,33
0,26,35
3,27,8
2,47,10
0,27,36
2,46,11
3,24,9
0,29,37
1,54,34
0,29,38
3,23,10
0,29,39
2,41,12
3,23,11
1,50,35
0,27,40
2,40,13
1,51,36
3,22,12
2,38,14
0,24,41
3,25,13
1,54,37
0,24,42
3,28,14
2,33,15
0,23,43
1,54,38
3,28,15
0,24,44
2,34,16
1,51,39
2,35,17
2,35,18
1,52,40
3,47,16
2,35,19
0,34,45
0,33,46
1,53,41
2,34,20
3,48,17
0,34,47
3,48,18
1,52,42
0,33,48
2,30,21
3,45,19
1,52,43
2,28,22
0,32,49
4,0,-1
3,45,20
2,27,23
1,54,44
0,33,50
2,25,24
3,45,21
0,33,51
5,0,-1
4,67,0
3,43,22
0,29,52
1,70,45
5,0,0
4,68,1
3,44,23
1,70,46
2,25,25
5,0,1
4,67,2
1,70,47
5,2,2
3,42,24
2,26,26
4,67,3
0,42,53
1,70,48
2,26,27
5,5,3
4,70,4
3,44,25
2,25,28
0,45,54
2,25,29
1,66,49
4,67,5
0,46,55
2,26,30
5,19,4
2,27,31
4,67,6
1,67,50
5,20,5
3,53,26
0,48,56
2,26,32
4,66,7
3,54,27
0,49,57
2,24,33
1,69,51
5,21,6
4,65,8
0,48,58
3,52,28
5,22,7
2,30,34
4,60,9
3,54,29
1,70,52
5,22,8
0,46,59
2,27,35
4,57,10
3,51,30
5,25,9
0,42,60
4,54,11
2,24,36
1,70,53
3,47,31
4,53,12
5,27,10
0,36,61
2,23,37
3,47,32
5,30,11
2,24,38
4,49,13
1,68,54
5,29,12
3,47,33
2,23,39
4,49,14
5,28,13
1,68,55
2,21,40
5,30,14
2,20,41
4,44,15
3,57,34
2,19,42
5,29,15
1,70,56
2,17,43
3,54,35
4,41,16
2,19,44
1,69,57
4,39,17
3,55,36
4,38,18
5,46,16
3,57,37
2,38,45
1,66,58
3,57,38
4,36,19
2,37,46
5,45,17
2,38,47
4,34,20
5,43,18
2,37,48
1,62,59
3,56,39
4,33,21
3,54,40
5,44,19
2,34,49
6,0,-1
4,31,22
1,53,60
2,34,50
4,30,23
5,45,20
3,50,41
1,48,61
2,32,51
7,0,-1
5,45,21
4,28,24
3,49,42
6,67,0
2,33,52
6,69,1
5,48,22
7,0,0
3,48,43
2,62,53
7,0,1
6,68,2
3,47,44
4,25,25
5,47,23
7,2,2
6,68,3
2,61,54
7,3,3
5,45,24
2,61,55
6,68,4
4,32,26
3,55,45
6,67,5
5,42,25
4,32,27
2,58,56
3,53,46
2,59,57
7,21,4
4,31,28
3,49,47
3,49,48
2,56,58
7,24,5
6,66,6
4,31,29
5,53,26
3,47,49
6,64,7
4,31,30
2,51,59
4,30,31
7,25,6
5,55,27
6,63,8
7,24,7
3,45,50
4,28,32
5,53,28
2,43,60
7,24,8
6,59,9
4,26,33
6,59,10
3,39,51
5,53,29
7,24,9
6,57,11
2,35,61
5,54,30
5,54,31
7,26,10
6,55,12
7,25,11
3,36,52
4,33,34
6,53,13
4,33,35
5,53,32
7,25,12
4,33,36
6,48,14
7,23,13
5,53,33
3,44,53
4,31,37
7,27,14
3,45,54
4,30,38
6,38,15
4,30,39
4,30,40
3,44,55
5,67,34
7,27,15
4,29,41
5,63,35
6,37,16
3,42,56
6,37,17
4,31,42
3,40,57
5,59,36
6,35,18
4,29,43
6,33,19
7,39,16
3,37,58
5,58,37
4,25,44
6,30,20
7,40,17
3,33,59
7,42,18
5,58,38
6,27,21
7,42,19
3,28,60
4,32,45
5,57,39
4,32,46
7,43,20
6,27,22
3,27,61
4,32,47
5,55,40
6,25,23
4,29,48
7,37,21
6,23,24
4,28,49
5,53,41
7,33,22
4,25,50
6,22,25
5,46,42
7,30,23
4,25,51
5,47,43
4,25,52
7,31,24
6,27,26
5,46,44
6,27,27
7,31,25
4,24,53
6,26,28
4,23,54
6,25,29
4,22,55
5,55,45
5,54,46
6,22,30
7,42,26
6,20,31
4,23,56
4,23,57
6,20,32
7,43,27
5,54,47
6,18,33
4,21,58
7,43,28
4,18,59
5,53,48
4,17,60
6,25,34
7,40,29
5,51,49
4,13,61
6,24,35
7,39,30
5,47,50
7,37,31
6,25,36
5,46,51
6,24,37
7,38,32
6,22,38
7,39,33
5,43,52
6,22,39
6,21,40
7,42,34
6,21,41
6,21,42
5,57,53
7,41,35
6,21,43
7,41,36
5,55,54
6,19,44
7,41,37
5,52,55
6,20,45
6,20,46
6,20,47
6,20,48
7,41,38
5,51,56
7,41,39
6,19,49
5,50,57
7,38,40
6,16,50
5,47,58
7,34,41
6,15,51
5,47,59
7,31,42
6,14,52
7,28,43
5,41,60
6,18,53
7,27,44
6,18,54
5,37,61
6,20,55
7,27,45
7,27,46
6,20,56
7,26,47
7,25,48
6,20,57
6,19,58
7,25,49
6,18,59
7,23,50
6,15,60
7,20,51
6,13,61
7,20,52
7,22,53
7,18,54
7,18,55
7,14,56
7,13,57
7,12,58
7,11,59
7,9,60
7,8,61
